QRCODE;DO_VERTICE;AO_VERTICE;TIPO;AZIMUTE;COMPRIMENTO;CONFRONTANTE_DESC;LADO;INDICE;GEOMETRIA_WKT;
999a354b-0c33-46a2-bfb3-28213892d541;CGK-P-20930;CGK-P-20931;LA1;182,447300949;34,129252392;RIO SANTANA;EXTERNO;1;LINESTRING (-49.1802633300000025 -25.1313069400000018, -49.1802777799999973 -25.1316147200000017);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-P-20931;CGK-M-5292;LA1;157,527192311;18,9836682136;PLACIDO NICOLAU PEREIRA;EXTERNO;2;LINESTRING (-49.1802777799999973 -25.1316147200000017, -49.1802058299999985 -25.1317730600000004);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-M-5292;CGK-M-5293;LA1;170,9826442;29,8505573673;PLACIDO NICOLAU PEREIRA;EXTERNO;3;LINESTRING (-49.1802058299999985 -25.1317730600000004, -49.1801594399999971 -25.1320391699999988);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-M-5293;CGK-V-20900;LA1;190,321033095;9,38375208091;PLACIDO NICOLAU PEREIRA;EXTERNO;4;LINESTRING (-49.1801594399999971 -25.1320391699999988, -49.1801761099999979 -25.1321225000000013);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-V-20900;CGK-M-5294;LA6;191,492779518;9,7034445389;PLACIDO NICOLAU PEREIRA;EXTERNO;5;LINESTRING (-49.1801761099999979 -25.1321225000000013, -49.1801952799999995 -25.1322083300000010);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-M-5294;CGK-M-5295;LA1;194,149618943;296,237078242;PLACIDO NICOLAU PEREIRA;EXTERNO;6;LINESTRING (-49.1801952799999995 -25.1322083300000010, -49.1809133300000028 -25.1348011100000015);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-M-5295;CGK-M-5296;LA1;124,948217984;32,8787361629;PLACIDO NICOLAU PEREIRA;EXTERNO;7;LINESTRING (-49.1809133300000028 -25.1348011100000015, -49.1806461099999979 -25.1349711099999986);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-M-5296;CGK-M-5297;LA1;143,676012333;259,781174416;PLACIDO NICOLAU PEREIRA;EXTERNO;8;LINESTRING (-49.1806461099999979 -25.1349711099999986, -49.1791202799999994 -25.1368602800000005);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-M-5297;CGK-M-5298;LA1;176,819851466;94,9322713862;PLACIDO NICOLAU PEREIRA;EXTERNO;9;LINESTRING (-49.1791202799999994 -25.1368602800000005, -49.1790680599999988 -25.1377158300000012);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-M-5298;CGK-M-5299;LA1;156,897395052;122,658503004;PLACIDO NICOLAU PEREIRA;EXTERNO;10;LINESTRING (-49.1790680599999988 -25.1377158300000012, -49.1785908299999974 -25.1387341699999993);
