QRCODE;CODIGO;METODO_POSICIONAMENTO;TIPO_VERTICE;SIGMA_X;SIGMA_Y;SIGMA_Z;LADO;INDICE;X;Y;Z;GEOMETRIA_WKT;
999a354b-0c33-46a2-bfb3-28213892d541;CGK-P-20930;PG2;P;0,0;0,0;0,0;EXTERNO;1;49 10 48,948 W;25 7 52,705 S;714.4;POINT (-49.1802633300000025 -25.1313069400000018);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-P-20931;PG2;P;0,0;0,0;0,0;EXTERNO;2;49 10 49,000 W;25 7 53,813 S;715.74;POINT (-49.1802777799999973 -25.1316147200000017);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-M-5292;PG2;M;0,0;0,0;0,0;EXTERNO;3;49 10 48,741 W;25 7 54,383 S;715.84;POINT (-49.1802058299999985 -25.1317730600000004);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-M-5293;PG2;M;0,0;0,0;0,0;EXTERNO;4;49 10 48,574 W;25 7 55,341 S;720.21;POINT (-49.1801594399999971 -25.1320391699999988);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-V-20900;PA1;V;0,0;0,0;0,0;EXTERNO;5;49 10 48,634 W;25 7 55,641 S;720.96;POINT (-49.1801761099999979 -25.1321225000000013);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-M-5294;PG2;M;0,0;0,0;0,0;EXTERNO;6;49 10 48,703 W;25 7 55,950 S;724.67;POINT (-49.1801952799999995 -25.1322083300000010);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-M-5295;PG2;M;0,0;0,0;0,0;EXTERNO;7;49 10 51,288 W;25 8 05,284 S;794.66;POINT (-49.1809133300000028 -25.1348011100000015);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-M-5296;PG2;M;0,0;0,0;0,0;EXTERNO;8;49 10 50,326 W;25 8 05,896 S;802.25;POINT (-49.1806461099999979 -25.1349711099999986);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-M-5297;PG2;M;0,0;0,0;0,0;EXTERNO;9;49 10 44,833 W;25 8 12,697 S;843.21;POINT (-49.1791202799999994 -25.1368602800000005);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-M-5298;PG2;M;0,0;0,0;0,0;EXTERNO;10;49 10 44,645 W;25 8 15,777 S;842.28;POINT (-49.1790680599999988 -25.1377158300000012);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-M-5299;PG2;M;0,0;0,0;0,0;EXTERNO;11;49 10 42,927 W;25 8 19,443 S;857.62;POINT (-49.1785908299999974 -25.1387341699999993);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-M-5300;PG2;M;0,0;0,0;0,0;EXTERNO;12;49 10 41,888 W;25 8 20,525 S;853.32;POINT (-49.1783022199999991 -25.1390347200000015);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-M-5301;PG2;M;0,0;0,0;0,0;EXTERNO;13;49 10 40,352 W;25 8 21,658 S;857.71;POINT (-49.1778755599999968 -25.1393494400000002);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-M-5302;PG2;M;0,0;0,0;0,0;EXTERNO;14;49 10 38,852 W;25 8 23,652 S;853.43;POINT (-49.1774588899999969 -25.1399033299999992);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-M-5303;PG2;M;0,0;0,0;0,0;EXTERNO;15;49 10 31,393 W;25 8 29,254 S;868.8;POINT (-49.1753869400000028 -25.1414594399999984);
999a354b-0c33-46a2-bfb3-28213892d541;CGK-M-0493;PG2;M;0,0;0,0;0,01;EXTERNO;16;49 10 25,483 W;25 8 37,811 S;912.47;POINT (-49.1737452799999986 -25.1438363900000006);
